price,drivetrain,model,year,province,front_legroom(mm),battery_charge_time(hr),battery_range(km),mileage(km)
34999,Rear-Wheel Drive,Model 3,2022.0,NS,1085.0,10.0,430.0,51060
49980,All-Wheel Drive,Model X,2017.0,BC,1046.0,12.0,475.0,136200
31690,unknown,Model 3,2020.0,BC,1085.0,10.0,430.0,41722
26888,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,386.0,42000
39990,All-Wheel Drive,Model 3,2022.0,AB,1085.0,10.0,538.0,50870
41995,All-Wheel Drive,Model 3,2023.0,ON,1085.0,11.5,576.0,27000
23995,All-Wheel Drive,Model S,2015.0,ON,1085.0,12.0,435.0,130000
32800,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,48000
29555,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,69838
42880,All-Wheel Drive,Model 3,2023.0,ON,1085.0,11.5,576.0,26000
40900,Rear-Wheel Drive,Model Y,2023.0,ON,1064.0,9.4,418.0,24900
37895,All-Wheel Drive,Model X,2016.0,ON,1046.0,12.0,414.0,129710
25729,Rear-Wheel Drive,Model 3,2019.0,QC,1085.0,10.0,499.0,98700
34900,Rear-Wheel Drive,Model 3,2021.0,BC,1085.0,10.0,430.0,23317
40996,Rear-Wheel Drive,Model Y,2023.0,ON,1064.0,9.4,418.0,24500
40888,All-Wheel Drive,Model 3,2023.0,ON,1085.0,11.5,576.0,30136
36880,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,481.0,60716
26888,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,72000
29995,All-Wheel Drive,Model 3,2019.0,BC,1085.0,10.0,499.0,95648
37480,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,93469
23990,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,94360
43880,All-Wheel Drive,Model 3,2022.0,ON,1085.0,10.0,507.0,46600
50450,All-Wheel Drive,Model X,2016.0,BC,1046.0,12.0,402.0,81000
23995,Rear-Wheel Drive,Model S,2014.0,ON,1085.0,12.0,407.0,115000
42777,Rear-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,393.0,35001
28800,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,53936
35980,All-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,568.0,47200
24498,All-Wheel Drive,Model 3,2018.0,QC,1085.0,10.0,499.0,92107
24995,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,78966
24988,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,100000
29880,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,45330
28990,Rear-Wheel Drive,Model 3,2021.0,NS,1085.0,10.0,430.0,72102
40980,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,63588
23800,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,115000
41888,All-Wheel Drive,Model 3,2023.0,ON,1085.0,11.5,576.0,20659
24995,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,79400
28800,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,78000
17880,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,386.0,190000
