title,price,location,Mileage,Drivetrain,Exterior color,Interior color,Fuel Consumption,Fuel type,Battery charge time,Battery range,Make:,Model:,Year:,Trim:,Body type:,Exterior colour:,Interior colour:,Mileage:,Condition:,VIN:,Stock number:,Combined gas mileage:,City gas mileage:,Highway gas mileage:,Fuel type:,Battery capacity:,Battery charge time (240V):,Battery range:,Transmission:,Drivetrain:,NHTSA overall safety rating:,NHTSA frontal crash rating:,NHTSA side crash rating:,NHTSA rollover rating:,Doors:,Front legroom:,Back legroom:,Cargo volume:,Transmission,Dealer:,Backup camera,Battery charge time (120V):,Cabin size:,Bed length:,Safety rating,Alloy wheels,Bluetooth
2022 Tesla Model 3 RWD,"$34,999","Truro, NS","51,060",Rear-Wheel Drive,Black,Black,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,Black,Black,"51,060 km",Used,5YJ3E1EA7NF167406,67406,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,60 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2017 Tesla Model X 100D AWD,"$49,980","North Vancouver, BC","136,200",All-Wheel Drive,White,,2.655 L/100km,Electric,12 hr,475 km,Tesla,Model X,2017.0,100D AWD,SUV / Crossover,White,,"136,200 km",Used,5YJXCBE21HF042038,7022,2.7 L/100km,2.7 L/100km,2.6 L/100km,Electric,100 kWh,12 hr,475 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,Automatic,,,,,,,,
2020 Tesla Model 3,"$31,690","Richmond, BC","41,722",,White,,,Electric,,,Tesla,Model 3,2020.0,,,White,,"41,722 km",Used,5YJ3E1EA8LF738754,A38754,,,,Electric,,,,Automatic,,,,,,,,,,Automatic,,,,,,,,
2019 Tesla Model 3 Standard Plus RWD,"$26,888","North York, ON","42,000",Rear-Wheel Drive,Black,,1.9 L/100km,Electric,10 hr,386 km,Tesla,Model 3,2019.0,Standard Plus RWD,Sedan,Black,,"42,000 km",Used,413952,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,386 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,Automatic,,,,,,,,
2022 Tesla Model 3 Long Range AWD,"$39,990","Calgary, AB • Home delivery available","50,870",All-Wheel Drive,Midnight Silver Metallic,Black,1.9 L/100km,Electric,10 hr,538 km,Tesla,Model 3,2022.0,Long Range AWD,Sedan,Midnight Silver Metallic,Black,"50,870 km",Used,5YJ3E1EB2NF276591,XB76591,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,10 hr,538 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$41,995","Etobicoke, ON","27,000",All-Wheel Drive,Gray,Black,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,Gray,Black,"27,000 km",Used,LRW3E1EBXPC876241,5005,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2015 Tesla Model S 85D AWD,"$23,995","Toronto, ON","130,000",All-Wheel Drive,White,,2.365 L/100km,Electric,12 hr,435 km,Tesla,Model S,2015.0,85D AWD,Sedan,White,,"130,000 km",Used,5YJSA1H23FFP74769,P74769,2.4 L/100km,2.5 L/100km,2.2 L/100km,Electric,85 kWh,12 hr,435 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,899 mm,894 L,Automatic,Lion Motor Sales,,,,,,,
2020 Tesla Model 3 Long Range AWD,"$32,800","Concord, ON","48,000",All-Wheel Drive,Gray,,1.945 L/100km,Electric,10 hr,518 km,Tesla,Model 3,2020.0,Long Range AWD,Sedan,Gray,,"48,000 km",Used,5YJ3E1EBXLF670479,M10-670479,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,518 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$29,555","Richmond, BC","69,838",Rear-Wheel Drive,White,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,White,Black,"69,838 km",Used,5YJ3E1EAXLF703956,V24085A,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$42,880","Concord, ON","26,000",All-Wheel Drive,Blue,,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,Blue,,"26,000 km",Used,M06-933578,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,4 doors,,,,,1085 mm,894 mm,648 L,,Automatic,,,,,,,,
